Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Age_band_of_casualty,Cause_of_accident,Accident_severity
18-30,Owner,2-5yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,Owner,Above 10yr,Office areas,,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving carelessly,Slight Injury
18-30,Owner,5-10yr,Office areas,One way,Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Over 51,Changing lane to the left,Slight Injury
Over 51,Owner,,Other,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Rollover,2,2,Going straight,na,na,No priority to vehicle,Slight Injury
18-30,Owner,5-10yr,Residential areas,,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,31-50,Driving carelessly,Slight Injury
18-30,Owner,Below 1yr,Residential areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Passenger,18-30,Changing lane to the right,Slight Injury
18-30,Owner,2-5yr, Church areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Collision with pedestrians,2,1,Going straight,Passenger,18-30,Driving carelessly,Slight Injury
31-50,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving under the influence of drugs,Slight Injury
Under 18,Employee,2-5yr,Residential areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Passenger,18-30,No distancing,Slight Injury
Unknown,Employee,2-5yr,Other,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Over 51,Changing lane to the left,Slight Injury
18-30,Employee,5-10yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,No priority to vehicle,Serious Injury
31-50,Employee,5-10yr,Residential areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Turnover,na,na,Moving Backward,Serious Injury
31-50,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads with some distress,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,Driver or rider,Under 18,Moving Backward,Serious Injury
18-30,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,2,Moving Backward,na,na,No distancing,Slight Injury
31-50,Employee,5-10yr,Other,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,3,2,Going straight,Driver or rider,31-50,Changing lane to the right,Slight Injury
31-50,Employee,Above 10yr,Other,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Rollover,3,2,Moving Backward,Driver or rider,18-30,Changing lane to the right,Slight Injury
18-30,Owner,,Residential areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Moving Backward,Slight Injury
31-50,Owner,5-10yr,  Recreational areas,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Pedestrian,31-50,Driving carelessly,Slight Injury
18-30,Employee,5-10yr,Other,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,Driving under the influence of drugs,Slight Injury
31-50,Employee,Below 1yr,Office areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,31-50,No distancing,Slight Injury
31-50,,,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Driver or rider,18-30,No distancing,Slight Injury
Under 18,Employee,5-10yr,Office areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,1,1,Unknown,Passenger,18-30,No priority to vehicle,Serious Injury
Unknown,Employee,5-10yr,Office areas,One way,Y Shape,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving to the left,Slight Injury
18-30,Employee,Above 10yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,2,1,Unknown,Driver or rider,31-50,No priority to vehicle,Slight Injury
18-30,Employee,Above 10yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Passenger,18-30,No priority to vehicle,Slight Injury
Over 51,Employee,Above 10yr,Other,Double carriageway (median),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,2,Moving Backward,na,na,No priority to vehicle,Slight Injury
Over 51,Employee,Above 10yr,Office areas,Two-way (divided with solid lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,31-50,No distancing,Slight Injury
31-50,Employee,Above 10yr,Residential areas,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,2,4,Going straight,na,na,Moving Backward,Fatal injury
31-50,Employee,Above 10yr,  Recreational areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,4,Moving Backward,Passenger,Under 18,Changing lane to the right,Fatal injury
18-30,Employee,5-10yr,Other,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Under 18,Driving carelessly,Fatal injury
18-30,Employee,2-5yr,Residential areas,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,4,Turnover,na,na,Changing lane to the left,Fatal injury
18-30,Employee,Below 1yr,Other,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,31-50,No distancing,Slight Injury
31-50,Employee,Below 1yr,Other,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Passenger,31-50,Changing lane to the right,Slight Injury
Over 51,Employee,2-5yr,Other,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Unknown,na,na,Driving under the influence of drugs,Slight Injury
31-50,Employee,Below 1yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury
31-50,Employee,Below 1yr,Other,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Under 18,Overturning,Slight Injury
Over 51,Employee,,School areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,31-50,No distancing,Fatal injury
31-50,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,18-30,Changing lane to the right,Slight Injury
Over 51,Employee,Below 1yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Passenger,31-50,No priority to vehicle,Slight Injury
Over 51,Employee,Below 1yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,31-50,Changing lane to the right,Slight Injury
18-30,Employee,1-2yr,School areas,,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,31-50,Changing lane to the left,Slight Injury
18-30,Employee,Above 10yr,School areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury
31-50,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,No priority to pedestrian,Serious Injury
Over 51,Employee,Below 1yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,Driving carelessly,Serious Injury
Over 51,Employee,2-5yr,School areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury
Over 51,Employee,2-5yr,,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Driving carelessly,Slight Injury
18-30,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,18-30,Driving carelessly,Fatal injury
18-30,Employee,2-5yr,Other,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Moving Backward,Fatal injury
Under 18,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,3,1,Going straight,na,na,Overtaking,Serious Injury
18-30,Employee,1-2yr,Residential areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Moving Backward,Driver or rider,18-30,No priority to vehicle,Serious Injury
31-50,Employee,5-10yr,Other,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,No priority to vehicle,Serious Injury
18-30,Employee,Below 1yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Over 51,Changing lane to the left,Slight Injury
18-30,Employee,Below 1yr, Industrial areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,No priority to vehicle,Slight Injury
18-30,Employee,,  Recreational areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Other,Pedestrian,Over 51,No distancing,Slight Injury
31-50,Employee,Below 1yr, Church areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Under 18,Moving Backward,Slight Injury
18-30,Employee,1-2yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Changing lane to the right,Slight Injury
Over 51,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,na,na,No distancing,Slight Injury
Over 51,Employee,1-2yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,1,2,Moving Backward,Driver or rider,18-30,Overtaking,Slight Injury
31-50,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,18-30,No distancing,Slight Injury
18-30,Employee,Below 1yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,Changing lane to the left,Slight Injury
18-30,Employee,Above 10yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,18-30,Driving under the influence of drugs,Slight Injury
18-30,Owner,5-10yr,Office areas,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,18-30,No distancing,Serious Injury
18-30,Employee,Below 1yr,Residential areas,other,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Over 51,No distancing,Serious Injury
31-50,Employee,5-10yr,School areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Under 18,Changing lane to the right,Slight Injury
31-50,Owner,5-10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the left,Slight Injury
Over 51,Employee,2-5yr,Other,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Parked,Pedestrian,Under 18,Moving Backward,Slight Injury
31-50,Employee,Above 10yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury
31-50,Employee,5-10yr, Church areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,18-30,No distancing,Slight Injury
Under 18,Employee,1-2yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Passenger,18-30,Driving carelessly,Slight Injury
31-50,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Under 18,Moving Backward,Serious Injury
Under 18,Employee,2-5yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Over 51,No distancing,Serious Injury
18-30,Employee,Below 1yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Stopping,Passenger,Under 18,Changing lane to the right,Slight Injury
18-30,Employee,Below 1yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,31-50,Driving carelessly,Slight Injury
31-50,Employee,5-10yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Overtaking,Driver or rider,Over 51,Driving to the left,Slight Injury
Under 18,Owner,5-10yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
Over 51,Employee,1-2yr,Other,Double carriageway (median),O Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,1,1,Reversing,Driver or rider,18-30,Driving carelessly,Slight Injury
31-50,Employee,,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
Under 18,Employee,Above 10yr, Church areas,Unknown,Y Shape,Asphalt roads with some distress,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,No priority to vehicle,Slight Injury
18-30,Owner,1-2yr,School areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,3,2,Unknown,Driver or rider,31-50,Changing lane to the right,Slight Injury
18-30,,, Church areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Pedestrian,Under 18,Turnover,Slight Injury
Over 51,Employee,Above 10yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,2,Moving Backward,Driver or rider,18-30,No priority to vehicle,Slight Injury
31-50,Owner,2-5yr,Other,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Driving at high speed,Serious Injury
Over 51,Employee,5-10yr, Church areas,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,Passenger,Over 51,No distancing,Serious Injury
Under 18,Employee,Below 1yr,Other,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,31-50,No distancing,Slight Injury
Over 51,Employee,5-10yr,Other,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Over 51,Driving carelessly,Slight Injury
18-30,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,na,na,Driving carelessly,Slight Injury
18-30,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Under 18,Moving Backward,Slight Injury
31-50,Employee,1-2yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Pedestrian,18-30,No distancing,Serious Injury
18-30,Employee,,Residential areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,18-30,Changing lane to the right,Slight Injury
18-30,Employee,1-2yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,18-30,Overtaking,Slight Injury
31-50,Owner,1-2yr, Church areas,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,18-30,No distancing,Slight Injury
18-30,Owner,1-2yr,,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,2,5,Going straight,Driver or rider,31-50,Overtaking,Slight Injury
18-30,Owner,5-10yr,  Market areas,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Going straight,Passenger,Under 18,Moving Backward,Slight Injury
18-30,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Reversing,na,na,No distancing,Slight Injury
Over 51,Employee,5-10yr,Other,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Getting off,na,na,No distancing,Slight Injury
Over 51,Owner,Below 1yr, Church areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Rollover,2,5,Going straight,Driver or rider,Under 18,No priority to vehicle,Slight Injury
31-50,Employee,Above 10yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Getting off,na,na,No priority to vehicle,Slight Injury
Unknown,Employee,5-10yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
Unknown,Employee,Below 1yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,3,1,Going straight,na,na,No distancing,Slight Injury
31-50,Employee,Above 10yr,Other,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Driving under the influence of drugs,Slight Injury
Under 18,Employee,5-10yr,  Recreational areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Over 51,Changing lane to the left,Slight Injury
18-30,Owner,Above 10yr,  Recreational areas,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Serious Injury
18-30,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Driving to the left,Serious Injury
31-50,Employee,1-2yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Earth roads,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Passenger,18-30,Driving at high speed,Slight Injury
31-50,Employee,1-2yr,Residential areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Overtaking,Slight Injury
Over 51,Employee,1-2yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
31-50,Employee,2-5yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,31-50,Changing lane to the right,Slight Injury
18-30,Owner,Above 10yr, Church areas,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,18-30,Moving Backward,Slight Injury
31-50,Employee,2-5yr,Other,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,18-30,Moving Backward,Slight Injury
31-50,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
31-50,Employee,2-5yr,Other,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,Driver or rider,18-30,Moving Backward,Slight Injury
31-50,Other,No Licence,  Recreational areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,18-30,No distancing,Slight Injury
Over 51,Employee,1-2yr,Other,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,2,3,Going straight,Passenger,Under 18,Moving Backward,Slight Injury
18-30,Owner,5-10yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads with some distress,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
Under 18,Employee,1-2yr,Residential areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Changing lane to the left,Slight Injury
Unknown,Employee,Above 10yr,Office areas,One way,Y Shape,Asphalt roads,Daylight,Raining and Windy,Vehicle with vehicle collision,1,1,Going straight,na,na,No priority to vehicle,Slight Injury
18-30,Employee,1-2yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,No distancing,Slight Injury
Under 18,Employee,1-2yr, Church areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,31-50,No priority to vehicle,Slight Injury
Unknown,Employee,2-5yr, Church areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,3,1,Going straight,Driver or rider,18-30,Driving under the influence of drugs,Slight Injury
18-30,Employee,1-2yr,Residential areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Rollover,3,1,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,Employee,1-2yr,Other,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,18-30,No distancing,Slight Injury
31-50,Employee,Above 10yr,Other,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Pedestrian,Under 18,No distancing,Slight Injury
18-30,Employee,Above 10yr,,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Unknown,2,1,Going straight,Driver or rider,Under 18,Changing lane to the left,Slight Injury
31-50,Employee,Above 10yr,Residential areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,Employee,Above 10yr,Office areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Reversing,Pedestrian,Over 51,Changing lane to the right,Slight Injury
Over 51,Employee,1-2yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Fall from vehicles,2,2,Going straight,Pedestrian,31-50,Driving under the influence of drugs,Slight Injury
Over 51,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Moving Backward,Slight Injury
Over 51,Owner,2-5yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,2,5,Going straight,Driver or rider,31-50,Changing lane to the left,Slight Injury
Over 51,Employee,2-5yr,  Recreational areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Unknown,Driver or rider,18-30,No priority to pedestrian,Slight Injury
31-50,Employee,5-10yr, Church areas,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Going straight,Driver or rider,Over 51,No distancing,Slight Injury
31-50,Employee,5-10yr,School areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Going straight,na,na,No distancing,Slight Injury
31-50,Employee,2-5yr,Office areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,2,5,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
Unknown,Employee,Above 10yr,Other,,No junction,,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
31-50,Employee,5-10yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Driving carelessly,Slight Injury
Under 18,Employee,Above 10yr,Other,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Unknown,2,1,Going straight,na,na,No distancing,Slight Injury
Over 51,Employee,2-5yr,Other,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Rollover,2,1,Unknown,na,na,Changing lane to the left,Slight Injury
18-30,Employee,2-5yr,Office areas,One way,O Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,Driver or rider,18-30,Moving Backward,Serious Injury
31-50,Employee,2-5yr,Residential areas,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,31-50,No distancing,Serious Injury
31-50,Employee,1-2yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Pedestrian,18-30,No priority to pedestrian,Serious Injury
31-50,Employee,5-10yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,1,1,Turnover,Pedestrian,Under 18,Changing lane to the left,Slight Injury
Over 51,Employee,2-5yr, Church areas,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,na,na,No distancing,Slight Injury
Over 51,Employee,1-2yr,Residential areas,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,31-50,Driving carelessly,Slight Injury
